AAK1
CAPN9
CASP4
CASP5
CASP7
CASP8
CBFA2T2
CBR3-AS1
CCDC109B
CCDC125
CCDC14
CCDC174
CCDC28A
CCDC28B
CCDC68
CCDC82
CCL15
CCL20
CCL23
CCL5
CCNA2
CCNB1
CCNB2
CCNG2
CCNH
CCNJL
CCNYL1
CD14
CD52
CD55
CD58
CD74
CDA
CDC20
CDC25B
CDC42EP3
CDC42SE1
CDCA3
CDCA4
CDCA5
CDCA8
CDHR2
CDHR5
CDK1
CDK10
CDK18
CDKN1A
CDKN2B
CDKN2B-AS1
CDKN2C
CDKN2D
CDKN3
CDT1
CEACAM1
CEACAM5
CEACAM6
CEACAM7
CENPA
CENPE
CENPF
CENPK
CENPM
CENPN
CENPW
CEP350
CEP55
CEP63
CEP70
CEPT1
CFD
CFDP1
CHAC2
CHD6
CHEK2
CHGA
CHGB
CHIC2
CHMP1A
CHMP6
CHN2
CHORDC1
CHPF
CHTF18
CKAP2
CKB
CKS1B
CKS2
CLASRP
CLCA1
CLCA4
CLDN23
CLDN8
CLIC3
CLIC4
CLK1
CLK4
CLU
CMIP
CNKSR3
CNN3
COBL
COG1
COG5
COL16A1
COLCA2
COMMD10
COMMD8
COPS7A
COQ10B
CORO1A
COX15
CPE
CPSF1
CPT2
CREB3
CREB3L1
CREB3L4
CREG1
CREM
CRIP1
CRYBA2
CRYM
CSAD
CSTF1
CSTF2
CSTF3
CTD-2020K17.4
CTD-2228K2.5
CTD-2319I12.1
CTD-2547H18.1
CTD-3094K11.1
CTGF
CTNNB1
CTSE
CTTNBP2NL
CUL1
CUL2
CUTC
CWF19L1
CWF19L2
CWH43
CXCL1
CXCL14
CXCL2
CXCL3
CYB5R4
CYP3A5
DBF4
DCAF13
DCK
DCTN3
DDC
DDIT3
DDIT4
DDX6
DDX60
DEAF1
DEF6
DEFA5
DEFA6
DEFB1
DEPDC1
DEPDC1B
DERL3
DHRS9
DIMT1
DIO3OS
DIP2B
DLGAP1-AS1
DLGAP5
DLL1
DLL4
DMBT1
DNAJB4
DNAJB9
DNAJC12
DNTTIP2
DPYSL2
DST
DTWD1
DUOX2
DUOXA2
DUS2
DUSP1
DUSP11
DUSP2
DUSP28
DUSP5
DYNLT3
DYRK4
ECT2
EDN1
EFNA1
EFNB2
EGLN1
EGLN3
EGR2
EGR3
EIF1AY
EIF1B
EIF3J-AS1
EIF5AL1
EMC2
EMC9
EMP1
EMP3
ENTPD3-AS1
ENTPD8
EPSTI1
ERI3
ERO1L
ERRFI1
ESCO2
ESF1
ESPN
ETFDH
ETNK1
ETV3
EXD3
EXOC1
EXOG
EZH2
F3
FABP2
FABP5
FAM107B
FAM118A
FAM120AOS
FAM127B
FAM131A
FAM132A
FAM133B
FAM174B
FAM177B
FAM215B
FAM217B
FAM221A
FAM3B
FAM49B
FAM64A
FAM76A
FAM83D
FANCF
FASTKD3
FBXO32
FBXO42
FBXO5
FBXO8
FCGBP
FEN1
FERMT3
FEV
FFAR4
FGFBP1
FHL2
FKBP1A
FLAD1
FLYWCH2
FMO5
FMOD
FN1
FNTA
FOPNL
FOSB
FPGT
FRA10AC1
FRMD1
FRMD3
FRZB
FSIP2
FURIN
FUT6
FYB
G0S2
G2E3
GADD45A
GADD45G
GALK2
GALNT6
GAN
GANC
GBP2
GCA
GCG
GCNT3
GDA
GDF15
GDPD3
GFM2
GGA1
GGPS1
GIGYF1
GINS2
GK
GMPR
GNAI2
GNG13
GNPAT
GPR153
GPR85
GPR89A
GPSM2
GPSM3
GPT2
GRIPAP1
GSDMB
GSKIP
GSN
GSTA1
GTF2H1
GTF3A
GTSE1
GUCA2A
GUCA2B
H2AFX
HACL1
HAT1
HAUS1
HAUS8
HBB
HBS1L
HCCS
HCK
HEPACAM2
HES1
HES4
HES6
HEXIM1
HGD
HHLA2
HID1
HIGD1A
HIP1R
HIST1H1C
HIST1H2AC
HIST1H2BD
HIST1H4C
HIST2H2AA3
HIST2H2BE
HJURP
HK2
HLA-C
HLA-DPA1
HLA-DPB1
HLA-DQB1
HLA-DRA
HLA-DRB1
HLA-DRB5
HLA-G
HMGB2
HMGB3
HMGCS2
HMGN2
HMGN5
HMHA1
HMMR
HMOX1
HNRNPH1
HOTAIRM1
HOXA-AS4
HOXA3
HOXA9
HOXB3
HOXB6
HOXB8
HPCAL1
HPGD
HPGDS
HRASLS2
HRCT1
HS3ST1
HSD17B2
HSPA1A
HSPA1B
HSPA2
HSPB1
HTATSF1
HTRA2
HYLS1
ICAM2
ID1
IDI1
IDNK
IFI27
IFI6
IFITM2
IFNGR1
IFT122
IFT74
IGFBP2
IGFBP7
IGHA1
IGHA2
IGHG1
IGHG2
IGHG3
IGHG4
IGHM
IGJ
IGKC
IGLC2
IGLC3
IGLC7
IGSF3
IL17RB
IL17RC
IL1R2
IL32
IL3RA
IL8
IMPA1
INPP5K
INSIG1
INSL5
INTS12
IQSEC2
IRF2
ISG15
ISG20
ITFG2
ITLN1
ITLN2
ITM2A
ITPR2
ITSN2
KATNA1
KAZALD1
KBTBD7
KCNJ3
KCNK6
KCNMA1
KCNQ1OT1
KCTD14
KCTD5
KCTD9
KDELR3
KIAA0101
KIAA1109
KIF11
KIF12
KIF20B
KIF22
KIF23
KIF2C
KIF4A
KIFC1
KIN
KLHL42
KLK1
KLK11
KLK12
KLK15
KNSTRN
KPNA2
KRT18
KRT19
KRT20
KRT7
KTI12
L1TD1
LACTB2
LAMA1
LARP1B
LAS1L
LCN15
LCN2
LEO1
LGALS1
LGALS9B
LHPP
LIG1
LIN7B
LINC00152
LINC00261
LINC00467
LINC00511
LINC00543
LINC00668
LINC00685
LINC00936
LIPE-AS1
LIPH
LIPT1
LMBR1L
LMF2
LMNB1
LPCAT3
LPIN1
LRCH4
LRMP
LRP5
LRRC26
LRRC40
LTB
LUC7L
LUC7L3
LYPD8
LYZ
MAD2L1
MAD2L2
MAEA
MAGED2
MALL
MAPKAPK5-AS1
MARVELD2
MATK
MB
MBOAT2
MCF2L
MCTP2
MDK
MDM4
MECP2
MED18
MED19
MED21
MED25
MED29
MELK
MEP1A
METTL10
METTL12
METTL17
METTL21A
METTL7B
MFAP1
MFI2
MFSD11
MIA
MICAL1
MICALL2
MINPP1
MIR210HG
MIR4435-1HG
MIS18A
MKI67
MLF1IP
MLLT3
MMEL1
MMP7
MND1
MNT
MOB2
MOB4
MOCS2
MOGAT3
MOSPD1
MRAP2
MS4A12
MS4A8
MSH2
MSLN
MSMO1
MT1F
MT1G
MT1H
MT1M
MT1X
MT2A
MT3
MTERF
MTERFD1
MTHFD2
MTL5
MTM1
MTRNR2L1
MTRNR2L11
MTRNR2L12
MTRNR2L3
MTSS1
MUC1
MUC12
MUC13
MUC2
MUC20
MUC5AC
MX1
MXD1
MXD3
MXI1
MYO15B
MYO1B
MZB1
MZT1
N4BP2L2
N6AMT1
NAAA
NAALADL1
NAE1
NAGK
NAT1
NAT2
NAV2
NCAPG
NCK1
NDC80
NDRG1
NDUFAF5
NEAT1
NEIL1
NEK2
NEK8
NEURL
NEURL1B
NHLRC3
NKTR
NLN
NME1-NME2
NOS2
NOSTRIN
NPDC1
NQO1
NR1H4
NR4A2
NSD1
NSL1
NSMCE2
NSUN6
NTHL1
NUCB2
NUCKS1
NUDT12
NUDT15
NUF2
NUP107
NUP35
NUP37
NUP54
NUP85
NUSAP1
OAS1
OASL
ODF2
ODF2L
OFD1
OIP5
OLFM4
ORAI1
ORC6
OSBPL1A
OTOP2
OXNAD1
PABPC4
PAM
PANK3
PANK4
PARP14
PARP2
PARPBP
PAXIP1-AS1
PBK
PBXIP1
PCBP1-AS1
PCGF1
PCK1
PCMTD1
PCNA
PCSK1N
PDE4D
PDE6D
PDE9A
PDHX
PDK2
PDLIM2
PDRG1
PDXDC2P
PDZK1IP1
PEPD
PEX11A
PEX2
PEX3
PGAP2
PGAP3
PGGT1B
PGM2
PHF1
PHF20L1
PHF23
PHGDH
PHKG2
PHLDA1
PHLDA2
PI3
PIAS1
PIGL
PIM2
PIR
PITPNB
PITX2
PKIB
PKIG
PLA2G16
PLA2G2A
PLAC8
PLAUR
PLCG2
PLEKHB1
PLEKHF2
PLIN3
PLK1
PLK2
PLOD2
PLS1
PLS3
PLXDC2
PNISR
PNPLA8
POC1A
POLA2
POLM
POLR2J3
PPAP2A
PPM1B
PPP1R12A
PPP1R14A
PPP1R2
PPP3CA
PPP4R1
PPY
PRAC2
PRAP1
PRC1
PRDM1
PRDX3
PRDX6
PRELID2
PRIM1
PRIMPOL
PRKAG2-AS1
PRKCD
PRKD2
PROX1
PRPS2
PRPSAP1
PRR24
PRR4
PRR5L
PRSS22
PRSS23
PRUNE2
PSAT1
PSMD5-AS1
PSPC1
PSRC1
PSTPIP2
PTGR2
PTGS1
PTPN18
PTPN4
PTPN6
PTPRCAP
PTPRH
PTPRN2
PTPRR
PTS
PTTG1
PYGL
PYY
QPCT
RAB26
RAB27A
RAB30-AS1
RAB4B
RAB5A
RABEP2
RABGAP1L
RAC2
RACGAP1
RAD51
RAD51AP1
RAD51C
RAMP1
RAP1GAP
RAP2B
RAP2C
RARRES2
RARRES3
RASD1
RASGEF1B
RASL11A
RASSF6
RBKS
RBM17
RBM22
RBM45
RBM6
RBMXL1
RBP4
RCAN1
RCE1
RDH5
REEP4
REEP5
REG1A
REG1B
REG3A
REG4
REP15
RETNLB
RFC3
RFK
RFX1
RGCC
RGL2
RGS1
RGS2
RHBDD2
RHNO1
RHOC
RHOF
RHOG
RICTOR
RMI2
RN7SK
RNA18S5
RNA28S5
RNA5SP151
RNASE1
RNASE4
RNASEH2A
RNASEH2B
RNASEL
RND3
RNF115
RNF14
RNF152
RNF2
RNF213
RNF26
RNFT1
RNLS
RNPC3
RNU12
RP1-17K7.2
RP1-313I6.12
RP1-39G22.7
RP11-1143G9.4
RP11-138A9.2
RP11-160O5.1
RP11-22C11.2
RP11-234B24.2
RP11-35P15.1
RP11-385F7.1
RP11-390F4.3
RP11-395A13.2
RP11-462G2.1
RP11-465B22.8
RP11-465N4.4
RP11-48O20.4
RP11-59E19.1
RP11-611L7.1
RP11-660L16.2
RP11-665N17.4
RP11-66N24.4
RP11-6N17.4
RP11-708H21.4
RP11-727F15.9
RP4-717I23.3
RPAP3
RPP38
RRM1
RRM2
RSU1
RUNX1
RUSC1
S100A11
S100A4
S100A9
S100P
SAA1
SAA2
SAMD9
SAMD9L
SAMHD1
SASS6
SCFD1
SCG5
SCGB2A1
SCGN
SCIN
SCLT1
SCNM1
SCNN1B
SCYL1
SDCBP2
SDR16C5
SEC22A
SEC22B
SEC23A
SEC63
SECTM1
SELENBP1
SELM
SEPP1
SERGEF
SERPINA1
SERPINB5
SERPINE2
SERTAD3
SFN
SGK1
SGK2
SGOL1
SGOL2
SH2D6
SH2D7
SH3BGRL3
SH3BP5L
SHB
SHMT1
SHOC2
SIDT1
SIRT5
SKA2
SKAP2
SKIL
SLC16A1
SLC16A3
SLC16A9
SLC17A4
SLC20A1
SLC25A19
SLC25A29
SLC25A53
SLC26A2
SLC26A3
SLC27A3
SLC35F5
SLC35G1
SLC37A3
SLC40A1
SLC51A
SLC51B
SLC6A14
SLC6A8
SLCO4A1
SMC2
SMC4
SMCO4
SMIM2-AS1
SMIM5
SMIM6
SMOC2
SMPD1
SMPDL3A
SMTN
SNAP23
SNAP47
SNORA76
SNRNP27
SNRNP35
SNX3
SNX4
SNX9
SOCS1
SOD3
SOX4
SP100
SP140L
SPA17
SPAG5
SPATS2L
SPC25
SPDEF
SPDL1
SPIB
SPIDR
SPINK1
SPINK4
SPINK5
SPPL2A
SPR
SPTLC2
SQLE
SQSTM1
SRGN
SRI
SRP54
SSH3
SST
ST3GAL4
ST6GALNAC1
STAG3
STK17A
STK17B
STMN1
STOM
STRADB
STX12
STX19
STX3
STX7
STXBP3
SUCLA2
SULT1A2
SUN2
SWSAP1
SYNC
SYP
SYT13
SYT7
SYTL1
SYTL2
TACC3
TAPSAR1
TBC1D7
TBCC
TBX10
TBX3
TCEAL3
TCEAL4
TCEAL8
TDG
TDP2
TEFM
TERF2IP
TESC
TEX30
TFAP4
TFF1
TFF2
TFIP11
TGIF1
TGOLN2
THAP1
THAP6
THOC5
TIAL1
TICAM1
TIMP1
TIMP2
TIPRL
TK1
TLE4
TM4SF1
TM4SF20
TM4SF5
TMCO3
TMEM107
TMEM128
TMEM161B-AS1
TMEM171
TMEM173
TMEM175
TMEM37
TMEM61
TMEM69
TMEM99
TMIGD1
TMSB4Y
TMUB1
TNFAIP3
TNFAIP8L1
TNIP3
TNNC2
TNRC6B
TOM1L1
TOP2A
TP53I3
TP53INP2
TPBG
TPD52L2
TPH1
TPPP3
TPRKB
TPSAB1
TPSG1
TPX2
TRAPPC2P1
TRAPPC6B
TRIM21
TRIM3
TRIM31
TRIM44
TRIM47
TRIP4
TRMT1L
TRMT61B
TROAP
TRPM5
TSC1
TSEN2
TSPAN1
TTC33
TTC39C
TTI2
TTK
TUBA1A
TUBA1B
TUBB
TUBB2A
TYMS
TYW5
U47924.27
UBA3
UBBP4
UBE2C
UBE2D1
UBE2L6
UBE2T
UBXN11
UCP2
UFSP2
UGT2B17
ULK3
UNC13D
UPRT
URAD
USB1
USP1
USP10
USP15
USP30-AS1
USP4
VEGFA
VIM
VIPR1
VPS41
VPS45
VRK1
WARS
WARS2
WBP2
WBSCR27
WDR20
WDR3
WDR60
WDR75
WFDC2
WNK4
WRB
WSB1
XAB2
XDH
XIST
XRCC4
XXbac-B476C20.9
YAF2
YIPF1
YIPF2
YPEL2
YPEL3
ZBTB48
ZC3H8
ZDHHC13
ZFAND2A
ZFHX3
ZFP36
ZG16B
ZMAT5
ZMYND8
ZNF226
ZNF274
ZNF302
ZNF394
ZNF552
ZNF701
ZNF75A
ZNF775
ZNF83
ZNF91
ZNRD1
ZSCAN16-AS1
ZSWIM8
ZWILCH
ZWINT
hsa-mir-6080
